구분 ,Year,Month,"인보이스발행일
(=매출일)",거래처,프로젝트,상세,콘텐츠,단가,공급가액,부가세,원천징수세,총 수익,결제방식,입금일,입금금액(상이),사유,비고,Package cagtegory,New / Exsiting,PO DATE,"
Recognition Date"
Databricks,2026,1,2025-01-29,Databricks Inc,,,,,"4,108,333",,,"17,000",,2026-02-04,,," $ 17,000 ",Consulting,,2,3
Databricks,2026,1,2025-01-29,Databricks Inc,,,,,"4,108,333",,,"17,000",,2026-02-04,,," $ 17,000 ",Consulting,,2,4
Databricks,2026,1,2025-01-29,Databricks Inc,,,,,"4,108,333",,,"17,000",,2026-02-04,,," $ 17,000 ",Consulting,,2,5
Databricks,2026,1,2025-01-29,Databricks Inc,,,,,"4,108,333",,,"17,000",,2026-02-04,,," $ 17,000 ",Consulting,,2,6
Databricks,2026,2,2025-01-26,Databricks Inc,,,,,"7,612,500",,,"31,500",,2026-02-23,,," $ 31,500 ",Retainer,,1,1
Databricks,2026,2,2025-01-26,Databricks Inc,,,,,"7,612,500",,,"31,500",,2026-02-23,,," $ 31,500 ",Retainer,,2,2
Databricks,2026,2,2025-01-26,Databricks Inc,,,,,"7,612,500",,,"31,500",,2026-02-23,,," $ 31,500 ",Retainer,,1,3
Databricks,2026,2,2025-01-26,Databricks Inc,,,,,"7,612,500",,,"31,500",,2026-02-23,,," $ 31,500 ",Retainer,,1,4
Databricks,2026,2,2025-01-26,Databricks Inc,,,,,"7,612,500",,,"31,500",,2026-02-23,,," $ 31,500 ",Retainer,,1,5
Databricks,2026,2,2025-01-26,Databricks Inc,,,,,"7,612,500",,,"31,500",,2026-02-23,,," $ 31,500 ",Retainer,,1,6
Databricks,2026,1,,,,,,,"4,785,000",,,,,,,,,Retainer,,1,2
Databricks,2026,1,,,,,,,"4,785,000",,,,,,,,,Retainer,,1,3
Databricks,2026,1,,,,,,,"4,785,000",,,,,,,,,Retainer,,1,4
Databricks,2026,1,,,,,,,"4,785,000",,,,,,,,,Retainer,,1,5
Databricks,2026,1,,,,,,,"4,785,000",,,,,,,,,Retainer,,1,6
